epoch,acc,loss,val_acc,val_loss
0,0.7113095238095238,0.6100460716656276,0.693359375,0.562784731388092
1,0.8186383928571429,0.44730763634045917,0.86328125,0.4002813547849655
2,0.9017857142857143,0.2861537415356863,0.89453125,0.27331268787384033
3,0.9267113095238095,0.24500038084529696,0.91796875,0.23055503517389297
4,0.9373139880952381,0.2070410287096387,0.91015625,0.27134740352630615
5,0.9423363095238095,0.1913494879291171,0.927734375,0.22489449381828308
6,0.9415922619047619,0.1937091364747002,0.9296875,0.21293887495994568
7,0.9449404761904762,0.18734247663191386,0.9453125,0.21426541358232498
8,0.9523809523809523,0.17411240332183384,0.94140625,0.1960921213030815
9,0.953125,0.16438910826331093,0.95703125,0.17880286276340485
10,0.9574032738095238,0.15326441753478276,0.94140625,0.2038687914609909
11,0.9579613095238095,0.1449241992973146,0.955078125,0.17829938977956772
12,0.9642857142857143,0.13112530786366688,0.951171875,0.16379796713590622
13,0.9635416666666666,0.1330177244685945,0.939453125,0.19493457674980164
14,0.9642857142857143,0.1327896692923137,0.947265625,0.16881506145000458
15,0.9544270833333334,0.15475109609819593,0.9453125,0.20285682380199432
16,0.9542410714285714,0.15384992034662337,0.9375,0.216593936085701
